user_id,age,occupation,gender
344805,32,other or not specified,M
660183,33,homemaker,F
555380,25,executive/managerial,M
551975,32,clerical/admin,M
907953,33,executive/managerial,F
356431,33,college/grad student,F
741003,29,academic/educator,F
138062,32,retired,F
863866,29,executive/managerial,M
671661,25,executive/managerial,F
145230,29,college/grad student,M
61795,28,executive/managerial,M
766203,30,executive/managerial,M
596768,32,executive/managerial,M
368525,27,executive/managerial,M
722186,26,K-12 student,M
277467,30,sales/marketing,M
198538,28,K-12 student,M
851754,25,sales/marketing,M
583846,35,executive/managerial,M
179426,27,executive/managerial,M
882356,55,executive/managerial,M
530797,26,technician/engineer,M
463322,32,executive/managerial,M
858070,28,executive/managerial,M
448302,33,sales/marketing,F
171654,33,sales/marketing,M
502650,56,college/grad student,F
58751,28,sales/marketing,F
25041,30,self-employed,M
56634,30,sales/marketing,M
520922,25,college/grad student,M
728856,23,scientist,M
360731,31,executive/managerial,M
419591,38,retired,M
825938,27,college/grad student,M
368038,31,executive/managerial,M
908247,29,tradesman/craftsman,M
444626,32,college/grad student,M
526822,26,executive/managerial,F
446373,23,other or not specified,M
453087,29,college/grad student,M
439029,32,sales/marketing,M
51681,31,sales/marketing,F
937316,51,self-employed,F
59161,38,retired,M
181659,28,sales/marketing,M
663690,30,sales/marketing,F
171317,28,college/grad student,M
324281,25,college/grad student,M
135971,28,executive/managerial,M
126974,27,programmer,M
162946,27,college/grad student,M
601646,25,college/grad student,M
23232,33,clerical/admin,F
621054,32,self-employed,M
354841,30,scientist,M
717116,28,programmer,M
27870,26,self-employed,M
777407,31,executive/managerial,M
346382,33,technician/engineer,M
355936,34,college/grad student,M
511583,26,college/grad student,M
533573,30,unemployed,M
51978,23,clerical/admin,M
641147,34,artist,F
216677,32,sales/marketing,M
867636,32,scientist,M
491906,26,scientist,M
461294,32,college/grad student,F
170627,25,other or not specified,M
621381,28,college/grad student,M
11973,25,other or not specified,M
908969,33,college/grad student,F
890131,27,college/grad student,M
694222,28,college/grad student,F
740332,33,college/grad student,M
931543,25,college/grad student,M
904906,21,scientist,M
151643,33,sales/marketing,M
494948,34,sales/marketing,M
91766,31,college/grad student,M
206351,28,self-employed,F
723932,32,K-12 student,M
523530,34,college/grad student,M
378062,31,college/grad student,F
409512,34,scientist,M
61701,21,sales/marketing,M
452463,33,college/grad student,M
360885,32,self-employed,M
261167,30,college/grad student,M
12762,31,homemaker,F
323169,31,executive/managerial,M
759584,31,college/grad student,M
931121,34,homemaker,M
650801,32,college/grad student,M
701633,33,college/grad student,M
373060,55,executive/managerial,M
512811,33,homemaker,F
649834,21,self-employed,M
378429,30,executive/managerial,M
450414,34,sales/marketing,M
912402,28,homemaker,F
841692,31,sales/marketing,F
780588,30,college/grad student,M
423155,33,sales/marketing,F
593628,31,college/grad student,M
672343,26,college/grad student,M
180904,34,college/grad student,M
159100,34,other or not specified,F
282552,18,sales/marketing,M
556671,31,self-employed,M
919719,33,executive/managerial,M
551009,27,self-employed,M
935741,31,college/grad student,M
508230,34,other or not specified,M
562744,30,executive/managerial,M
205798,26,college/grad student,M
201378,34,college/grad student,M
915841,27,sales/marketing,M
201388,28,farmer,M
488154,25,homemaker,F
48023,33,executive/managerial,M
10403,32,college/grad student,M
350710,30,executive/managerial,F
116847,26,scientist,M
927165,29,executive/managerial,M
466487,20,college/grad student,M
546715,23,sales/marketing,M
113835,31,college/grad student,M
241289,28,sales/marketing,M
294837,32,college/grad student,M
377017,28,college/grad student,M
248738,34,other or not specified,M
740644,25,college/grad student,M
681285,25,scientist,M
366322,30,sales/marketing,M
504683,28,college/grad student,F
556096,30,college/grad student,F
78802,22,sales/marketing,M
785880,30,college/grad student,F
457268,18,college/grad student,M
799441,26,sales/marketing,M
86134,61,retired,M
913271,28,executive/managerial,M
461921,30,academic/educator,M
664267,33,executive/managerial,M
382034,27,sales/marketing,M
929777,28,executive/managerial,M
400935,29,self-employed,M
44606,27,college/grad student,M
884374,29,college/grad student,M
89232,26,sales/marketing,F
594600,27,clerical/admin,F
661285,32,sales/marketing,M
397664,32,college/grad student,M
716282,33,executive/managerial,M
796643,31,executive/managerial,M
739007,31,retired,F
711315,30,executive/managerial,M
297210,33,programmer,M
121540,33,programmer,M
638744,34,college/grad student,F
456329,32,executive/managerial,M
93140,30,sales/marketing,M
874786,18,artist,M
485984,33,other or not specified,M
85823,26,other or not specified,M
724654,31,other or not specified,M
280794,34,self-employed,M
516602,32,other or not specified,M
657633,24,sales/marketing,M
226787,25,other or not specified,M
313779,32,scientist,M
86622,26,college/grad student,M
50443,27,college/grad student,M
76742,33,college/grad student,M
295397,33,college/grad student,M
425334,29,K-12 student,M
561601,34,scientist,M
179769,28,self-employed,F
480144,33,executive/managerial,F
566711,25,sales/marketing,M
507268,33,sales/marketing,M
512278,27,self-employed,F
413362,30,other or not specified,M
651768,25,executive/managerial,M
598011,32,K-12 student,F
527523,41,sales/marketing,M
696317,26,college/grad student,F
773095,19,K-12 student,M
555166,32,college/grad student,M
27813,8,K-12 student,F
749138,18,artist,M
739430,18,K-12 student,F
885755,27,college/grad student,M
443225,26,self-employed,M
537177,27,executive/managerial,M
81809,28,executive/managerial,M
115616,34,college/grad student,M
564844,28,sales/marketing,M
331399,30,college/grad student,M
564927,30,college/grad student,M
660555,26,sales/marketing,F
813938,27,college/grad student,M
251664,18,sales/marketing,M
853086,27,writer,F
805046,28,executive/managerial,M
405409,32,unemployed,M
905462,25,self-employed,F
593154,32,executive/managerial,M
332751,27,college/grad student,M
250784,26,executive/managerial,M
359913,27,retired,F
697670,34,self-employed,M
509863,26,lawyer,M
435081,26,college/grad student,F
569672,30,academic/educator,M
281887,28,college/grad student,M
552921,33,college/grad student,F
794427,33,scientist,M
932821,32,college/grad student,F
633745,34,executive/managerial,M
417023,28,scientist,M
230734,26,other or not specified,M
471184,29,other or not specified,M
651889,28,other or not specified,M
548848,29,tradesman/craftsman,M
210166,34,retired,F
113217,33,executive/managerial,M
56101,29,programmer,M
683394,25,executive/managerial,M
409945,33,scientist,M
428355,28,college/grad student,M
150519,23,other or not specified,M
350269,33,clerical/admin,M
347158,25,college/grad student,M
223338,23,sales/marketing,M
110438,28,other or not specified,M
538270,30,college/grad student,M
388506,26,college/grad student,M
414509,26,executive/managerial,F
526522,33,sales/marketing,M
898315,32,scientist,M
799557,34,executive/managerial,M
348175,26,homemaker,F
645143,34,technician/engineer,M
23845,34,college/grad student,M
182082,30,sales/marketing,M
858610,31,college/grad student,M
686592,33,scientist,M
698189,83,executive/managerial,M
601936,29,college/grad student,M
510556,34,sales/marketing,M
576587,27,writer,M
246202,35,college/grad student,M
101914,28,executive/managerial,M
19220,28,executive/managerial,M
375592,26,self-employed,M
191295,33,scientist,M
98232,31,college/grad student,M
833691,32,college/grad student,F
231494,39,executive/managerial,M
377362,33,other or not specified,F
47140,34,executive/managerial,M
894675,53,academic/educator,M
339130,25,college/grad student,M
901152,32,executive/managerial,F
784793,33,sales/marketing,M
897659,30,college/grad student,M
182617,31,retired,F
904368,30,executive/managerial,M
381606,33,self-employed,M
22333,26,executive/managerial,M
207401,28,college/grad student,M
629004,21,K-12 student,M
339680,25,college/grad student,M
727641,70,retired,F
895852,84,retired,M
389896,39,executive/managerial,M
920997,62,executive/managerial,M
39941,34,sales/marketing,M
291058,29,executive/managerial,M
70170,18,K-12 student,M
542433,32,executive/managerial,M
153762,33,college/grad student,M
935375,50,academic/educator,F
398793,29,college/grad student,M
643215,28,scientist,M
420908,27,sales/marketing,M
48778,28,technician/engineer,M
849188,42,executive/managerial,M
805417,31,college/grad student,M
76996,26,homemaker,M
289475,10,sales/marketing,M
794533,25,executive/managerial,F
502551,33,college/grad student,F
278479,25,college/grad student,M
493158,25,sales/marketing,F
503522,26,other or not specified,M
380995,27,college/grad student,M
636126,30,retired,M
418086,18,homemaker,M
560527,36,executive/managerial,M
86245,32,self-employed,M
287849,26,other or not specified,M
137718,33,self-employed,F
3728,21,scientist,M
584162,31,scientist,M
863854,33,sales/marketing,M
447981,34,college/grad student,M
361895,18,college/grad student,F
779914,32,executive/managerial,M
717163,28,academic/educator,M
657471,26,executive/managerial,F
149084,30,sales/marketing,M
274905,31,technician/engineer,M
385691,29,retired,F
575778,34,college/grad student,M
34519,18,K-12 student,M
171616,31,other or not specified,M
489942,29,college/grad student,M
268570,25,other or not specified,M
620994,27,artist,M
453450,25,academic/educator,M
315051,30,other or not specified,M
164219,32,other or not specified,M
232009,25,executive/managerial,M
351289,25,executive/managerial,M
279370,32,college/grad student,M
648238,31,executive/managerial,M
327273,26,college/grad student,M
427771,26,scientist,F
86104,25,scientist,M
277250,30,academic/educator,F
362341,33,college/grad student,M
926725,28,college/grad student,M
792455,24,sales/marketing,M
841028,31,academic/educator,F
871312,18,sales/marketing,M
939061,31,executive/managerial,M
717335,29,sales/marketing,M
5642,25,college/grad student,M
62547,32,programmer,M
582771,26,college/grad student,M
714786,30,college/grad student,M
172089,31,academic/educator,F
585048,33,executive/managerial,M
244141,33,other or not specified,M
705144,26,college/grad student,M
507402,33,self-employed,M
29713,30,self-employed,M
370025,27,college/grad student,M
918524,31,executive/managerial,M
468759,25,other or not specified,M
700048,34,college/grad student,M
875677,29,academic/educator,M
263560,26,self-employed,M
415877,34,college/grad student,M
786332,29,other or not specified,F
187800,27,scientist,M
685137,26,scientist,M
681931,32,college/grad student,M
604661,26,college/grad student,M
22097,34,college/grad student,M
917595,27,scientist,F
708971,26,college/grad student,M
387689,30,artist,M
644365,23,other or not specified,M
55716,25,college/grad student,M
290182,30,executive/managerial,M
452856,32,self-employed,F
178303,26,college/grad student,M
510368,25,unemployed,M
847088,29,college/grad student,F
300822,18,scientist,F
525544,33,executive/managerial,M
637486,27,other or not specified,M
281207,28,executive/managerial,M
63704,27,scientist,M
693949,28,artist,M
631933,18,customer service,M
392370,29,programmer,M
576710,34,homemaker,M
163045,28,college/grad student,M
477728,18,sales/marketing,M
829288,28,executive/managerial,M
681403,31,scientist,M
138976,42,executive/managerial,M
826957,26,sales/marketing,M
766273,28,other or not specified,F
97514,34,executive/managerial,M
600241,19,sales/marketing,M
283659,46,writer,M
643835,34,executive/managerial,M
292177,25,other or not specified,M
698514,30,sales/marketing,M
436488,25,college/grad student,M
718051,26,scientist,M
49353,44,executive/managerial,M
316133,37,self-employed,F
829153,32,K-12 student,M
205604,29,executive/managerial,M
621368,29,other or not specified,F
94768,40,sales/marketing,M
393529,31,sales/marketing,M
377192,27,self-employed,M
113161,37,college/grad student,F
23851,19,sales/marketing,F
809858,25,executive/managerial,F
507664,29,self-employed,M
854905,22,college/grad student,M
872171,27,sales/marketing,M
72347,25,sales/marketing,M
703973,22,sales/marketing,M
456956,29,college/grad student,M
754211,77,academic/educator,F
648401,25,executive/managerial,M
463930,8,sales/marketing,M
630726,52,other or not specified,F
405516,30,college/grad student,M
179942,26,programmer,M
338589,29,sales/marketing,M
418233,27,scientist,M
261553,26,scientist,M
671854,28,executive/managerial,M
308529,27,sales/marketing,M
581430,38,sales/marketing,M
477082,32,academic/educator,F
871457,26,self-employed,M
250112,24,college/grad student,M
76689,27,self-employed,M
939188,34,sales/marketing,M
730800,31,college/grad student,M
324416,24,academic/educator,F
808984,20,scientist,M
590001,23,K-12 student,M
641464,31,scientist,M
583031,31,executive/managerial,M
822966,32,sales/marketing,M
549486,20,college/grad student,M
22455,32,programmer,M
590306,27,K-12 student,M
205178,27,other or not specified,M
887504,29,scientist,M
804289,28,sales/marketing,M
522846,29,executive/managerial,M
671012,28,other or not specified,F
221148,32,self-employed,M
611794,27,other or not specified,M
827259,33,sales/marketing,M
637464,29,college/grad student,M
143529,29,executive/managerial,M
246006,26,self-employed,F
851274,39,scientist,F
780710,28,self-employed,M
629666,29,college/grad student,M
600309,34,college/grad student,F
238939,27,executive/managerial,M
558376,27,college/grad student,M
855557,30,scientist,F
132669,35,executive/managerial,M
735925,32,executive/managerial,F
452596,33,lawyer,M
501639,31,college/grad student,M
16424,55,self-employed,M
299148,26,sales/marketing,M
675892,34,sales/marketing,M
80586,25,college/grad student,M
761374,27,college/grad student,F
19192,44,executive/managerial,M
48491,25,academic/educator,M
807241,27,sales/marketing,M
411202,28,sales/marketing,M
76828,26,executive/managerial,M
516218,40,executive/managerial,M
565332,34,programmer,M
396085,33,doctor/health care,F
103898,18,K-12 student,M
781168,30,scientist,M
828063,23,college/grad student,M
348146,30,scientist,M
2086,84,retired,M
468251,33,college/grad student,M
315195,21,scientist,M
727904,32,executive/managerial,M
226809,27,college/grad student,M
730379,34,executive/managerial,M
600627,31,sales/marketing,M
846479,29,other or not specified,F
54473,32,college/grad student,M
763165,34,scientist,M
642935,28,other or not specified,M
567391,44,academic/educator,F
381858,34,executive/managerial,M
482843,34,executive/managerial,M
823798,38,self-employed,F
284413,29,other or not specified,M
872118,30,executive/managerial,M
144098,26,college/grad student,M
197364,28,college/grad student,M
661076,27,college/grad student,M
572194,30,college/grad student,M
687179,27,college/grad student,M
591138,25,scientist,M
333493,28,academic/educator,M
703729,29,other or not specified,M
117976,31,sales/marketing,M
96696,26,self-employed,M
465623,27,college/grad student,M
667734,32,scientist,M
48634,29,executive/managerial,M
518250,27,self-employed,M
132403,25,artist,M
493924,28,other or not specified,M
886071,27,college/grad student,F
795878,27,executive/managerial,M
551937,53,self-employed,F
449683,34,other or not specified,F
286151,27,executive/managerial,M
548124,27,college/grad student,M
126500,37,sales/marketing,M
627907,34,scientist,M
456852,32,other or not specified,M
513885,33,scientist,M
291365,32,executive/managerial,M
748134,26,executive/managerial,M
712167,29,tradesman/craftsman,M
889652,25,sales/marketing,M
656059,68,retired,F
104506,34,scientist,M
136306,25,college/grad student,M
321660,32,scientist,M
723108,25,college/grad student,M
860054,32,sales/marketing,M
422589,29,executive/managerial,M
557591,25,technician/engineer,M
66605,30,sales/marketing,M
297949,27,college/grad student,F
493883,28,college/grad student,M
71368,29,self-employed,M
631450,42,homemaker,F
812304,34,self-employed,M
674135,34,college/grad student,F
820091,29,other or not specified,M
799332,29,sales/marketing,M
59528,33,executive/managerial,M
253596,25,college/grad student,M
836291,41,executive/managerial,M
246943,34,lawyer,F
510593,18,sales/marketing,M
276650,30,college/grad student,M
396508,33,technician/engineer,M
54628,32,sales/marketing,M
638497,30,scientist,M
254824,34,college/grad student,M
710100,31,college/grad student,M
686831,30,executive/managerial,M
834429,28,writer,M
781041,33,college/grad student,M
647600,25,other or not specified,M
555199,26,college/grad student,M
731759,27,artist,M
805748,18,homemaker,F
252019,26,scientist,M
831389,18,clerical/admin,M
147120,26,college/grad student,M
452821,27,other or not specified,M
80209,29,self-employed,M
306375,28,executive/managerial,M
68243,34,executive/managerial,M
57620,29,sales/marketing,F
323589,31,college/grad student,M
552339,29,scientist,F
836480,27,self-employed,M
318875,27,executive/managerial,M
69805,31,sales/marketing,M
308452,32,scientist,M
139447,33,college/grad student,F
595240,27,self-employed,M
938949,34,executive/managerial,M
660686,34,other or not specified,F
790988,34,other or not specified,M
847742,30,scientist,M
825724,25,college/grad student,M
815141,33,tradesman/craftsman,M
609152,32,self-employed,M
13206,32,executive/managerial,M
430353,31,college/grad student,M
665750,34,executive/managerial,M
615611,24,college/grad student,M
110478,25,scientist,M
140443,27,artist,M
532985,34,academic/educator,F
910950,18,sales/marketing,M
487733,20,sales/marketing,M
553987,33,executive/managerial,M
665336,29,homemaker,F
646268,34,academic/educator,F
595584,30,scientist,M
596709,34,college/grad student,M
588994,29,college/grad student,M
894904,42,writer,F
755288,30,college/grad student,M
687510,27,college/grad student,M
245609,30,sales/marketing,M
623508,19,college/grad student,M
524255,40,executive/managerial,M
919329,34,scientist,M
811423,81,executive/managerial,F
26278,34,executive/managerial,M
188535,31,other or not specified,M
577365,19,sales/marketing,M
919150,25,college/grad student,M
287694,32,college/grad student,F
529057,18,K-12 student,M
480676,34,self-employed,M
787767,23,sales/marketing,M
336714,28,college/grad student,M
714482,26,homemaker,M
664032,28,sales/marketing,M
719244,28,K-12 student,M
145439,65,sales/marketing,F
606689,33,executive/managerial,M
575676,32,college/grad student,M
595309,29,self-employed,F
248151,33,scientist,M
476874,33,college/grad student,M
926767,27,K-12 student,M
300740,24,homemaker,M
453859,24,scientist,M
619330,33,artist,M
354832,26,college/grad student,F
893918,33,homemaker,M
133463,26,executive/managerial,M
59734,26,technician/engineer,M
503254,33,executive/managerial,M
400911,26,college/grad student,M
532054,27,scientist,M
924397,26,scientist,F
856145,29,sales/marketing,M
686247,31,self-employed,M
332625,78,self-employed,F
423127,32,other or not specified,M
139173,28,executive/managerial,M
736236,31,self-employed,M
791047,33,college/grad student,F
176972,29,college/grad student,M
425738,34,clerical/admin,M
455068,29,academic/educator,F
918618,31,scientist,M
860941,27,scientist,M
583344,25,academic/educator,M
660506,33,college/grad student,M
223657,26,executive/managerial,M
856432,47,sales/marketing,M
379349,27,tradesman/craftsman,M
461874,28,college/grad student,M
260485,26,sales/marketing,M
30957,89,sales/marketing,M
417319,28,executive/managerial,M
607216,26,sales/marketing,M
159966,25,college/grad student,F
671380,31,K-12 student,M
34475,27,scientist,M
499252,59,retired,F
319823,33,executive/managerial,M
473219,32,college/grad student,M
758938,18,K-12 student,M
918497,15,K-12 student,M
318799,29,homemaker,F
235180,25,college/grad student,M
892785,32,artist,M
681974,37,sales/marketing,M
223450,24,academic/educator,F
211486,33,homemaker,M
576779,33,sales/marketing,M
193233,23,other or not specified,M
462325,27,K-12 student,M
583588,64,doctor/health care,F
916062,33,doctor/health care,F
45741,31,executive/managerial,M
923025,33,executive/managerial,M
383931,34,other or not specified,M
191115,26,homemaker,M
435941,29,college/grad student,M
747180,30,tradesman/craftsman,M
869863,33,sales/marketing,M
474799,30,college/grad student,M
225073,34,executive/managerial,M
122811,32,sales/marketing,M
355729,31,retired,F
386780,40,executive/managerial,M
551777,31,executive/managerial,M
77485,27,clerical/admin,M
787165,30,sales/marketing,M
611075,25,academic/educator,M
928660,30,academic/educator,M
447570,39,executive/managerial,M
638234,25,college/grad student,M
129160,30,college/grad student,M
367100,31,college/grad student,M
620487,33,artist,M
242406,30,executive/managerial,F
691703,27,executive/managerial,M
381950,34,scientist,M
939660,31,K-12 student,M
339780,25,executive/managerial,M
137182,25,sales/marketing,M
131698,32,clerical/admin,M
737165,27,executive/managerial,M
377063,31,sales/marketing,M
810805,29,college/grad student,M
239063,50,self-employed,M
694899,18,K-12 student,F
863852,26,college/grad student,M
575533,29,college/grad student,M
154452,29,college/grad student,M
579350,27,scientist,M
910519,25,self-employed,F
298736,32,executive/managerial,M
240688,26,scientist,M
910867,34,sales/marketing,M
735696,33,executive/managerial,M
319426,34,doctor/health care,M
292438,26,college/grad student,M
287765,30,college/grad student,F
716443,18,executive/managerial,M
396253,39,other or not specified,M
431018,30,college/grad student,M
12439,42,other or not specified,M
264425,27,executive/managerial,M
339810,68,retired,M
323929,50,self-employed,M
536302,35,self-employed,F
517827,34,college/grad student,M
410967,25,college/grad student,M
663296,27,scientist,F
703662,32,college/grad student,M
511967,36,artist,M
884005,31,executive/managerial,M
179145,32,college/grad student,M
290640,31,self-employed,M
929966,32,college/grad student,M
791398,27,college/grad student,M
215387,27,scientist,M
435923,33,clerical/admin,F
634078,28,other or not specified,M
896921,26,executive/managerial,M
313275,44,other or not specified,F
897054,33,executive/managerial,M
184991,29,artist,M
769523,32,scientist,M
661833,31,executive/managerial,M
327220,28,executive/managerial,M
864092,33,sales/marketing,F
841800,25,technician/engineer,M
631235,30,sales/marketing,M
397015,33,sales/marketing,M
212507,31,tradesman/craftsman,M
869429,34,scientist,F
383086,26,self-employed,F
889200,24,K-12 student,M
757430,32,sales/marketing,M
215161,25,executive/managerial,M
831136,26,homemaker,M
626174,33,sales/marketing,M
844863,18,K-12 student,M
76560,28,college/grad student,F
537701,31,college/grad student,M
491911,26,executive/managerial,M
226819,29,homemaker,M
628230,26,college/grad student,M
137615,28,other or not specified,M
774632,27,executive/managerial,M
554790,33,college/grad student,M
773961,25,college/grad student,M
652347,30,programmer,M
302736,26,scientist,M
84611,18,K-12 student,M
694380,50,retired,F
900645,29,self-employed,M
926271,32,college/grad student,M
873685,30,executive/managerial,F
623920,27,farmer,M
65114,56,academic/educator,F
683302,26,executive/managerial,M
396601,28,college/grad student,M
747975,27,college/grad student,M
711907,29,academic/educator,F
25626,25,scientist,F
855487,30,college/grad student,M
291852,34,scientist,M
845117,25,executive/managerial,M
530774,25,homemaker,F
598964,34,college/grad student,M
384279,29,executive/managerial,M
849213,26,college/grad student,M
587442,25,scientist,F
12994,30,scientist,F
41685,26,self-employed,M
232607,29,sales/marketing,M
580068,29,college/grad student,M
691886,28,college/grad student,M
217568,29,college/grad student,M
230340,30,college/grad student,M
769614,27,college/grad student,M
789088,30,sales/marketing,M
889139,28,college/grad student,M
701428,17,K-12 student,M
530701,39,executive/managerial,M
200211,31,college/grad student,M
393685,33,college/grad student,M
157603,26,college/grad student,M
251506,32,sales/marketing,M
555415,31,homemaker,M
720722,30,sales/marketing,M
730385,29,college/grad student,M
728727,31,college/grad student,M
530006,31,sales/marketing,M
488643,26,executive/managerial,M
257881,18,K-12 student,M
582850,34,scientist,M
349561,18,tradesman/craftsman,M
73913,21,sales/marketing,F
447762,27,executive/managerial,M
921255,43,sales/marketing,M
665056,29,self-employed,F
816293,32,college/grad student,M
775820,33,scientist,M
323162,29,scientist,M
467472,26,executive/managerial,M
145351,29,college/grad student,M
341697,83,retired,F
874357,75,executive/managerial,M
600167,26,college/grad student,M
266970,58,academic/educator,M
695147,30,college/grad student,F
88820,25,writer,M
194035,33,artist,M
781313,34,college/grad student,M
887889,23,scientist,M
522742,33,college/grad student,M
175129,33,self-employed,F
878518,26,artist,M
580822,31,sales/marketing,F
8996,18,sales/marketing,M
781605,31,college/grad student,M
171799,25,sales/marketing,M
144162,33,lawyer,M
806325,32,clerical/admin,M
872057,23,executive/managerial,M
739092,18,K-12 student,M
131590,48,executive/managerial,F
505302,31,scientist,M
231072,32,executive/managerial,M
866646,20,college/grad student,M
673122,31,scientist,F
279825,33,sales/marketing,M
551027,25,clerical/admin,M
558855,23,sales/marketing,M
831743,34,college/grad student,M
519771,34,college/grad student,M
296617,32,executive/managerial,M
908873,33,college/grad student,M
580457,31,college/grad student,M
234207,28,college/grad student,M
718605,27,sales/marketing,M
594085,34,college/grad student,M
322549,25,sales/marketing,M
47161,25,college/grad student,M
712513,29,college/grad student,M
541054,30,artist,F
816891,18,K-12 student,M
57404,30,college/grad student,M
299278,33,self-employed,M
559728,33,other or not specified,M
938316,29,executive/managerial,M
671721,25,college/grad student,M
216721,18,homemaker,M
451270,63,retired,F
406102,25,executive/managerial,M
564171,33,college/grad student,M
881788,30,college/grad student,M
910526,34,self-employed,M
293611,18,K-12 student,M
705142,24,self-employed,M
415154,25,self-employed,M
914404,34,self-employed,F
53970,25,sales/marketing,M
358067,30,college/grad student,F
908563,32,college/grad student,M
369319,20,K-12 student,M
661763,28,executive/managerial,M
305630,28,college/grad student,M
444137,27,college/grad student,M
121392,34,doctor/health care,M
90829,31,scientist,F
373659,31,executive/managerial,M
280887,33,K-12 student,M
297347,27,technician/engineer,M
269193,33,technician/engineer,M
297162,26,sales/marketing,M
547713,34,executive/managerial,M
512141,20,sales/marketing,M
798634,25,college/grad student,M
253109,32,college/grad student,M
344236,17,self-employed,F
6335,22,other or not specified,M
518265,29,sales/marketing,M
203142,26,programmer,M
28668,29,other or not specified,F
800621,32,executive/managerial,M
733279,14,K-12 student,M
180842,34,tradesman/craftsman,M
168886,29,college/grad student,M
17260,31,executive/managerial,M
380566,25,college/grad student,F
880277,27,scientist,M
357200,34,scientist,M
894188,31,clerical/admin,M
239548,34,executive/managerial,M
431374,29,college/grad student,M
139842,33,self-employed,M
520221,25,other or not specified,F
427998,30,sales/marketing,M
429326,27,executive/managerial,M
416475,26,executive/managerial,M
217274,25,college/grad student,F
467336,32,college/grad student,F
810767,27,college/grad student,M
465087,28,college/grad student,M
501987,31,programmer,F
854111,32,retired,F
473413,26,college/grad student,F
830456,23,sales/marketing,M
772824,19,college/grad student,M
878892,26,self-employed,M
918300,31,college/grad student,M
796634,29,sales/marketing,M
333942,34,self-employed,M
863972,29,self-employed,M
874864,32,academic/educator,F
